City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,samarai,-10.6167,150.6667,301.88,76,90,3.98,PG,1682286319
83,atuona,-9.8,-139.0333,300.62,77,18,6.52,PF,1682286204
84,kavieng,-2.5744,150.7967,300.33,78,100,1.82,PG,1682286276
85,tautira,-17.7333,-149.15,300.11,83,100,6.91,PF,1682286311
86,faya,18.3851,42.4509,289.21,57,32,1.46,SA,1682286323
87,kidal,18.4411,1.4078,304.16,14,65,4.51,ML,1682286324
88,guerrero negro,27.9769,-114.0611,293.43,59,10,7.14,MX,1682286254
89,tura,25.5198,90.2201,291.04,74,22,1.29,IN,1682286323
90,cabo san lucas,22.8909,-109.9124,306.32,23,20,4.12,MX,1682286013
91,hailey,43.5196,-114.3153,284.07,44,20,0.0,US,1682286329
92,nioro,13.35,-15.75,304.53,19,5,6.01,GM,1682286330
93,timbiras,-4.2553,-43.9406,298.52,76,95,1.31,BR,1682286331
94,baherden,38.4362,57.4316,296.2,30,77,2.43,TM,1682286329
95,san cristobal,7.7669,-72.225,300.25,89,66,0.99,VE,1682286049
96,new norfolk,-42.7826,147.0587,280.77,66,8,1.44,AU,1682286227
97,elyria,41.3684,-82.1077,280.36,73,100,4.12,US,1682286001
98,khatanga,71.9667,102.5,254.98,99,71,2.29,RU,1682286307
99,provideniya,64.3833,-173.3,267.24,58,20,7.15,RU,1682286338
100,longyearbyen,78.2186,15.6401,263.06,85,0,4.63,SJ,1682286334
101,hervey bay,-25.2986,152.8535,296.56,62,10,11.16,AU,1682286341
102,yaan,7.3833,8.5667,300.52,73,99,2.19,NG,1682286342
103,mahuva,21.0914,71.7622,301.21,46,25,3.82,IN,1682286344
104,butaritari,3.0707,172.7902,301.34,79,56,7.37,KI,1682286220
105,arlit,18.7369,7.3853,303.86,8,92,2.9,NE,1682286346
106,malyye derbety,47.9547,44.6808,283.14,76,24,2.29,RU,1682286347
107,vila velha,-20.3297,-40.2925,296.12,88,75,1.03,BR,1682286349
108,vitim,59.4511,112.5578,267.91,95,100,1.72,RU,1682286178
109,rudnaya pristan,44.3614,135.8116,278.05,44,27,4.62,RU,1682286351
110,sulangan,11.1373,123.7228,301.18,77,99,4.36,PH,1682286353
111,fairbanks,64.8378,-147.7164,264.04,53,100,10.8,US,1682286354
112,kabanjahe,3.1001,98.4908,291.12,91,98,0.72,ID,1682286355
113,tazovskiy,67.4667,78.7,273.19,97,100,7.07,RU,1682286357
114,jutai,-5.1833,-68.9,298.3,88,80,1.02,BR,1682286359
115,saint-michel-des-saints,46.6834,-73.9159,277.56,97,100,3.07,CA,1682286360
116,haines junction,60.7522,-137.5108,270.12,68,100,6.17,CA,1682286361
117,cherskiy,68.75,161.3,273.22,68,100,1.98,RU,1682286362
118,narsaq,60.9167,-46.05,281.27,76,96,0.84,GL,1682286231
119,almaznyy,48.0448,40.045,280.16,88,72,1.95,RU,1682286364
120,pevek,69.7008,170.3133,271.96,70,1,2.31,RU,1682286237
121,gizo,-8.103,156.8419,302.03,73,57,2.36,SB,1682286366
122,lavrentiya,65.5833,-171.0,265.46,69,2,2.45,RU,1682286201
123,las cruces,32.3123,-106.7783,296.82,23,73,5.36,US,1682286201
124,carupano,10.6678,-63.2585,298.84,87,100,2.09,VE,1682286370
125,lebu,-37.6167,-73.65,285.84,82,0,5.79,CL,1682286212
126,salalah,17.0151,54.0924,301.2,78,20,2.57,OM,1682286285
127,tuatapere,-46.1333,167.6833,281.83,77,96,6.12,NZ,1682286373
128,mahebourg,-20.4081,57.7,298.31,83,40,1.54,MU,1682286281
129,xiaoweizhai,26.1903,107.5125,280.54,96,100,2.53,CN,1682286375
130,machico,32.7,-16.7667,292.43,81,20,2.57,PT,1682286376
131,vestmanna,62.1564,-7.1664,274.66,64,100,7.72,FO,1682286377
132,amarante,-6.2411,-42.8547,299.44,47,57,0.8,BR,1682286378
133,east london,-33.0153,27.9116,293.27,62,100,3.48,ZA,1682286253
134,syracuse,37.0881,15.2792,288.33,68,96,3.0,IT,1682286150
135,ranong,9.9658,98.6348,299.48,88,87,1.57,TH,1682286382
136,basco,20.4487,121.9702,297.72,75,15,5.91,PH,1682286383
137,aragats,40.4889,44.3528,280.91,66,95,0.97,AM,1682286385
138,kresek,-6.1314,106.3797,299.32,86,85,1.77,ID,1682286386
139,jiangyou,31.7667,104.7167,284.17,85,100,0.92,CN,1682286387
140,kaniama,-7.5667,24.1833,292.57,97,100,0.93,CD,1682286389
141,westport,41.1415,-73.3579,291.42,66,40,7.72,US,1682286293
142,nome,64.5011,-165.4064,271.19,59,0,1.54,US,1682286392
